OPR_DT,Hour,Trading Hub,Renewable Type,Generation,Market
2017-10-01,1,SP15,Solar,0.0,DAM
2017-10-01,2,SP15,Solar,0.0,DAM
2017-10-01,3,SP15,Solar,0.0,DAM
2017-10-01,4,SP15,Solar,0.0,DAM
2017-10-01,5,SP15,Solar,0.0,DAM
2017-10-01,6,SP15,Solar,0.0,DAM
2017-10-01,7,SP15,Solar,23.69,DAM
2017-10-01,8,SP15,Solar,1398.67,DAM
2017-10-01,9,SP15,Solar,4697.2,DAM
2017-10-01,10,SP15,Solar,6206.78,DAM
2017-10-01,11,SP15,Solar,6710.62,DAM
2017-10-01,12,SP15,Solar,6815.2,DAM
2017-10-01,13,SP15,Solar,6815.8,DAM
2017-10-01,14,SP15,Solar,6817.01,DAM
2017-10-01,15,SP15,Solar,6751.81,DAM
2017-10-01,16,SP15,Solar,6435.25,DAM
2017-10-01,17,SP15,Solar,5416.03,DAM
2017-10-01,18,SP15,Solar,2666.66,DAM
2017-10-01,19,SP15,Solar,244.78,DAM
2017-10-01,20,SP15,Solar,0.0,DAM
2017-10-01,21,SP15,Solar,0.0,DAM
2017-10-01,22,SP15,Solar,0.0,DAM
2017-10-01,23,SP15,Solar,0.0,DAM
2017-10-01,24,SP15,Solar,0.0,DAM
2017-10-02,1,SP15,Solar,0.0,DAM
2017-10-02,2,SP15,Solar,0.0,DAM
2017-10-02,3,SP15,Solar,0.0,DAM
2017-10-02,4,SP15,Solar,0.0,DAM
2017-10-02,5,SP15,Solar,0.0,DAM
2017-10-02,6,SP15,Solar,0.0,DAM
2017-10-02,7,SP15,Solar,28.9,DAM
2017-10-02,8,SP15,Solar,1408.58,DAM
2017-10-02,9,SP15,Solar,4734.36,DAM
2017-10-02,10,SP15,Solar,6247.7,DAM
2017-10-02,11,SP15,Solar,6752.76,DAM
2017-10-02,12,SP15,Solar,6841.47,DAM
2017-10-02,13,SP15,Solar,6844.96,DAM
2017-10-02,14,SP15,Solar,6837.52,DAM
2017-10-02,15,SP15,Solar,6778.56,DAM
2017-10-02,16,SP15,Solar,6388.78,DAM
2017-10-02,17,SP15,Solar,5366.83,DAM
2017-10-02,18,SP15,Solar,2532.81,DAM
2017-10-02,19,SP15,Solar,215.32,DAM
2017-10-02,20,SP15,Solar,0.0,DAM
2017-10-02,21,SP15,Solar,0.0,DAM
2017-10-02,22,SP15,Solar,0.0,DAM
2017-10-02,23,SP15,Solar,0.0,DAM
2017-10-02,24,SP15,Solar,0.0,DAM
2017-10-03,1,SP15,Solar,0.0,DAM
2017-10-03,2,SP15,Solar,0.0,DAM
2017-10-03,3,SP15,Solar,0.0,DAM
2017-10-03,4,SP15,Solar,0.0,DAM
2017-10-03,5,SP15,Solar,0.0,DAM
2017-10-03,6,SP15,Solar,0.0,DAM
2017-10-03,7,SP15,Solar,25.08,DAM
2017-10-03,8,SP15,Solar,1202.56,DAM
2017-10-03,9,SP15,Solar,4427.87,DAM
2017-10-03,10,SP15,Solar,5970.88,DAM
2017-10-03,11,SP15,Solar,6581.94,DAM
2017-10-03,12,SP15,Solar,6694.67,DAM
2017-10-03,13,SP15,Solar,6685.88,DAM
2017-10-03,14,SP15,Solar,6672.33,DAM
2017-10-03,15,SP15,Solar,6545.53,DAM
2017-10-03,16,SP15,Solar,6069.19,DAM
2017-10-03,17,SP15,Solar,4968.61,DAM
2017-10-03,18,SP15,Solar,2209.72,DAM
2017-10-03,19,SP15,Solar,147.07,DAM
2017-10-03,20,SP15,Solar,0.0,DAM
2017-10-03,21,SP15,Solar,0.0,DAM
2017-10-03,22,SP15,Solar,0.0,DAM
2017-10-03,23,SP15,Solar,0.0,DAM
2017-10-03,24,SP15,Solar,0.0,DAM
2017-10-04,1,SP15,Solar,0.0,DAM
2017-10-04,2,SP15,Solar,0.0,DAM
2017-10-04,3,SP15,Solar,0.0,DAM
2017-10-04,4,SP15,Solar,0.0,DAM
2017-10-04,5,SP15,Solar,0.0,DAM
2017-10-04,6,SP15,Solar,0.0,DAM
2017-10-04,7,SP15,Solar,17.0,DAM
2017-10-04,8,SP15,Solar,1253.58,DAM
2017-10-04,9,SP15,Solar,4457.77,DAM
2017-10-04,10,SP15,Solar,6013.06,DAM
2017-10-04,11,SP15,Solar,6597.26,DAM
2017-10-04,12,SP15,Solar,6702.24,DAM
2017-10-04,13,SP15,Solar,6669.72,DAM
2017-10-04,14,SP15,Solar,6690.78,DAM
2017-10-04,15,SP15,Solar,6585.62,DAM
2017-10-04,16,SP15,Solar,6131.39,DAM
2017-10-04,17,SP15,Solar,5043.35,DAM
2017-10-04,18,SP15,Solar,2213.91,DAM
2017-10-04,19,SP15,Solar,148.91,DAM
2017-10-04,20,SP15,Solar,0.0,DAM
2017-10-04,21,SP15,Solar,0.0,DAM
2017-10-04,22,SP15,Solar,0.0,DAM
2017-10-04,23,SP15,Solar,0.0,DAM
2017-10-04,24,SP15,Solar,0.0,DAM
2017-10-05,1,SP15,Solar,0.0,DAM
2017-10-05,2,SP15,Solar,0.0,DAM
2017-10-05,3,SP15,Solar,0.0,DAM
2017-10-05,4,SP15,Solar,0.0,DAM
2017-10-05,5,SP15,Solar,0.0,DAM
2017-10-05,6,SP15,Solar,0.0,DAM
2017-10-05,7,SP15,Solar,19.47,DAM
2017-10-05,8,SP15,Solar,1268.99,DAM
2017-10-05,9,SP15,Solar,4488.08,DAM
2017-10-05,10,SP15,Solar,6005.6,DAM
2017-10-05,11,SP15,Solar,6568.61,DAM
2017-10-05,12,SP15,Solar,6685.9,DAM
2017-10-05,13,SP15,Solar,6637.16,DAM
2017-10-05,14,SP15,Solar,6670.08,DAM
2017-10-05,15,SP15,Solar,6601.27,DAM
2017-10-05,16,SP15,Solar,6174.48,DAM
2017-10-05,17,SP15,Solar,5077.41,DAM
2017-10-05,18,SP15,Solar,2107.56,DAM
2017-10-05,19,SP15,Solar,135.41,DAM
2017-10-05,20,SP15,Solar,0.0,DAM
2017-10-05,21,SP15,Solar,0.0,DAM
2017-10-05,22,SP15,Solar,0.0,DAM
2017-10-05,23,SP15,Solar,0.0,DAM
2017-10-05,24,SP15,Solar,0.0,DAM
2017-10-06,1,SP15,Solar,0.0,DAM
2017-10-06,2,SP15,Solar,0.0,DAM
2017-10-06,3,SP15,Solar,0.0,DAM
2017-10-06,4,SP15,Solar,0.0,DAM
2017-10-06,5,SP15,Solar,0.0,DAM
2017-10-06,6,SP15,Solar,0.0,DAM
2017-10-06,7,SP15,Solar,20.72,DAM
2017-10-06,8,SP15,Solar,1251.25,DAM
2017-10-06,9,SP15,Solar,4463.61,DAM
2017-10-06,10,SP15,Solar,6028.03,DAM
2017-10-06,11,SP15,Solar,6585.91,DAM
2017-10-06,12,SP15,Solar,6693.4,DAM
2017-10-06,13,SP15,Solar,6638.01,DAM
2017-10-06,14,SP15,Solar,6676.77,DAM
2017-10-06,15,SP15,Solar,6594.37,DAM
2017-10-06,16,SP15,Solar,6158.07,DAM
2017-10-06,17,SP15,Solar,4981.59,DAM
2017-10-06,18,SP15,Solar,1982.15,DAM
2017-10-06,19,SP15,Solar,100.35,DAM
2017-10-06,20,SP15,Solar,0.0,DAM
2017-10-06,21,SP15,Solar,0.0,DAM
2017-10-06,22,SP15,Solar,0.0,DAM
2017-10-06,23,SP15,Solar,0.0,DAM
2017-10-06,24,SP15,Solar,0.0,DAM
2017-10-07,1,SP15,Solar,0.0,DAM
2017-10-07,2,SP15,Solar,0.0,DAM
2017-10-07,3,SP15,Solar,0.0,DAM
2017-10-07,4,SP15,Solar,0.0,DAM
2017-10-07,5,SP15,Solar,0.0,DAM
2017-10-07,6,SP15,Solar,0.0,DAM
2017-10-07,7,SP15,Solar,19.43,DAM
2017-10-07,8,SP15,Solar,1213.75,DAM
2017-10-07,9,SP15,Solar,4428.73,DAM
2017-10-07,10,SP15,Solar,6002.07,DAM
2017-10-07,11,SP15,Solar,6541.15,DAM
2017-10-07,12,SP15,Solar,6640.51,DAM
2017-10-07,13,SP15,Solar,6568.01,DAM
2017-10-07,14,SP15,Solar,6588.38,DAM
2017-10-07,15,SP15,Solar,6505.64,DAM
2017-10-07,16,SP15,Solar,6083.4,DAM
2017-10-07,17,SP15,Solar,4912.5,DAM
2017-10-07,18,SP15,Solar,1917.34,DAM
2017-10-07,19,SP15,Solar,103.88,DAM
2017-10-07,20,SP15,Solar,0.0,DAM
2017-10-07,21,SP15,Solar,0.0,DAM
2017-10-07,22,SP15,Solar,0.0,DAM
2017-10-07,23,SP15,Solar,0.0,DAM
2017-10-07,24,SP15,Solar,0.0,DAM
2017-10-08,1,SP15,Solar,0.0,DAM
2017-10-08,2,SP15,Solar,0.0,DAM
2017-10-08,3,SP15,Solar,0.0,DAM
2017-10-08,4,SP15,Solar,0.0,DAM
2017-10-08,5,SP15,Solar,0.0,DAM
2017-10-08,6,SP15,Solar,0.0,DAM
2017-10-08,7,SP15,Solar,20.06,DAM
2017-10-08,8,SP15,Solar,1186.39,DAM
2017-10-08,9,SP15,Solar,4387.39,DAM
2017-10-08,10,SP15,Solar,5989.71,DAM
2017-10-08,11,SP15,Solar,6542.2,DAM
2017-10-08,12,SP15,Solar,6652.03,DAM
2017-10-08,13,SP15,Solar,6589.28,DAM
2017-10-08,14,SP15,Solar,6636.7,DAM
2017-10-08,15,SP15,Solar,6539.8,DAM
2017-10-08,16,SP15,Solar,6090.59,DAM
2017-10-08,17,SP15,Solar,4879.66,DAM
2017-10-08,18,SP15,Solar,1816.25,DAM
2017-10-08,19,SP15,Solar,97.01,DAM
2017-10-08,20,SP15,Solar,0.0,DAM
2017-10-08,21,SP15,Solar,0.0,DAM
2017-10-08,22,SP15,Solar,0.0,DAM
2017-10-08,23,SP15,Solar,0.0,DAM
2017-10-08,24,SP15,Solar,0.0,DAM
2017-10-09,1,SP15,Solar,0.0,DAM
2017-10-09,2,SP15,Solar,0.0,DAM
2017-10-09,3,SP15,Solar,0.0,DAM
2017-10-09,4,SP15,Solar,0.0,DAM
2017-10-09,5,SP15,Solar,0.0,DAM
2017-10-09,6,SP15,Solar,0.0,DAM
2017-10-09,7,SP15,Solar,20.03,DAM
2017-10-09,8,SP15,Solar,1145.46,DAM
2017-10-09,9,SP15,Solar,4316.52,DAM
2017-10-09,10,SP15,Solar,5972.38,DAM
2017-10-09,11,SP15,Solar,6541.08,DAM
2017-10-09,12,SP15,Solar,6644.03,DAM
2017-10-09,13,SP15,Solar,6593.15,DAM
2017-10-09,14,SP15,Solar,6619.92,DAM
2017-10-09,15,SP15,Solar,6511.73,DAM
2017-10-09,16,SP15,Solar,6065.96,DAM
2017-10-09,17,SP15,Solar,4817.64,DAM
2017-10-09,18,SP15,Solar,1715.04,DAM
2017-10-09,19,SP15,Solar,78.47,DAM
2017-10-09,20,SP15,Solar,0.0,DAM
2017-10-09,21,SP15,Solar,0.0,DAM
2017-10-09,22,SP15,Solar,0.0,DAM
2017-10-09,23,SP15,Solar,0.0,DAM
2017-10-09,24,SP15,Solar,0.0,DAM
2017-10-10,1,SP15,Solar,0.0,DAM
2017-10-10,2,SP15,Solar,0.0,DAM
2017-10-10,3,SP15,Solar,0.0,DAM
2017-10-10,4,SP15,Solar,0.0,DAM
2017-10-10,5,SP15,Solar,0.0,DAM
2017-10-10,6,SP15,Solar,0.0,DAM
2017-10-10,7,SP15,Solar,14.51,DAM
2017-10-10,8,SP15,Solar,1083.63,DAM
2017-10-10,9,SP15,Solar,4214.53,DAM
2017-10-10,10,SP15,Solar,5913.23,DAM
2017-10-10,11,SP15,Solar,6515.03,DAM
2017-10-10,12,SP15,Solar,6618.15,DAM
2017-10-10,13,SP15,Solar,6573.73,DAM
2017-10-10,14,SP15,Solar,6586.72,DAM
2017-10-10,15,SP15,Solar,6452.83,DAM
2017-10-10,16,SP15,Solar,5954.62,DAM
2017-10-10,17,SP15,Solar,4701.9,DAM
2017-10-10,18,SP15,Solar,1609.66,DAM
2017-10-10,19,SP15,Solar,76.18,DAM
2017-10-10,20,SP15,Solar,0.0,DAM
2017-10-10,21,SP15,Solar,0.0,DAM
2017-10-10,22,SP15,Solar,0.0,DAM
2017-10-10,23,SP15,Solar,0.0,DAM
2017-10-10,24,SP15,Solar,0.0,DAM
2017-10-11,1,SP15,Solar,0.0,DAM
2017-10-11,2,SP15,Solar,0.0,DAM
2017-10-11,3,SP15,Solar,0.0,DAM
2017-10-11,4,SP15,Solar,0.0,DAM
2017-10-11,5,SP15,Solar,0.0,DAM
2017-10-11,6,SP15,Solar,0.0,DAM
2017-10-11,7,SP15,Solar,7.93,DAM
2017-10-11,8,SP15,Solar,1006.07,DAM
2017-10-11,9,SP15,Solar,3983.36,DAM
2017-10-11,10,SP15,Solar,5718.08,DAM
2017-10-11,11,SP15,Solar,6351.44,DAM
2017-10-11,12,SP15,Solar,6460.04,DAM
2017-10-11,13,SP15,Solar,6426.27,DAM
2017-10-11,14,SP15,Solar,6419.29,DAM
2017-10-11,15,SP15,Solar,6290.38,DAM
2017-10-11,16,SP15,Solar,5829.97,DAM
2017-10-11,17,SP15,Solar,4591.52,DAM
2017-10-11,18,SP15,Solar,1524.57,DAM
2017-10-11,19,SP15,Solar,65.66,DAM
2017-10-11,20,SP15,Solar,0.0,DAM
2017-10-11,21,SP15,Solar,0.0,DAM
2017-10-11,22,SP15,Solar,0.0,DAM
2017-10-11,23,SP15,Solar,0.0,DAM
2017-10-11,24,SP15,Solar,0.0,DAM
2017-10-12,1,SP15,Solar,0.0,DAM
2017-10-12,2,SP15,Solar,0.0,DAM
2017-10-12,3,SP15,Solar,0.0,DAM
2017-10-12,4,SP15,Solar,0.0,DAM
2017-10-12,5,SP15,Solar,0.0,DAM
2017-10-12,6,SP15,Solar,0.0,DAM
2017-10-12,7,SP15,Solar,5.95,DAM
