OPR_DT,Hour,Trading Hub,Renewable Type,Generation,Market
2017-10-01,1,SP15,Wind,2560.73,DAM
2017-10-01,2,SP15,Wind,2464.27,DAM
2017-10-01,3,SP15,Wind,2326.43,DAM
2017-10-01,4,SP15,Wind,2157.74,DAM
2017-10-01,5,SP15,Wind,2009.39,DAM
2017-10-01,6,SP15,Wind,1888.37,DAM
2017-10-01,7,SP15,Wind,1761.78,DAM
2017-10-01,8,SP15,Wind,1613.11,DAM
2017-10-01,9,SP15,Wind,1513.52,DAM
2017-10-01,10,SP15,Wind,1389.66,DAM
2017-10-01,11,SP15,Wind,1275.48,DAM
2017-10-01,12,SP15,Wind,1517.17,DAM
2017-10-01,13,SP15,Wind,1813.29,DAM
2017-10-01,14,SP15,Wind,2162.52,DAM
2017-10-01,15,SP15,Wind,2488.54,DAM
2017-10-01,16,SP15,Wind,2742.89,DAM
2017-10-01,17,SP15,Wind,2877.41,DAM
2017-10-01,18,SP15,Wind,2938.69,DAM
2017-10-01,19,SP15,Wind,2903.45,DAM
2017-10-01,20,SP15,Wind,2913.92,DAM
2017-10-01,21,SP15,Wind,2926.75,DAM
2017-10-01,22,SP15,Wind,2911.69,DAM
2017-10-01,23,SP15,Wind,2896.85,DAM
2017-10-01,24,SP15,Wind,2888.58,DAM
2017-10-02,1,SP15,Wind,2805.34,DAM
2017-10-02,2,SP15,Wind,2617.27,DAM
2017-10-02,3,SP15,Wind,2392.85,DAM
2017-10-02,4,SP15,Wind,2236.6,DAM
2017-10-02,5,SP15,Wind,2011.87,DAM
2017-10-02,6,SP15,Wind,1703.64,DAM
2017-10-02,7,SP15,Wind,1416.52,DAM
2017-10-02,8,SP15,Wind,1088.09,DAM
2017-10-02,9,SP15,Wind,885.78,DAM
2017-10-02,10,SP15,Wind,706.52,DAM
2017-10-02,11,SP15,Wind,552.09,DAM
2017-10-02,12,SP15,Wind,523.0,DAM
2017-10-02,13,SP15,Wind,570.01,DAM
2017-10-02,14,SP15,Wind,662.58,DAM
2017-10-02,15,SP15,Wind,877.42,DAM
2017-10-02,16,SP15,Wind,1159.94,DAM
2017-10-02,17,SP15,Wind,1552.39,DAM
2017-10-02,18,SP15,Wind,1746.45,DAM
2017-10-02,19,SP15,Wind,1825.71,DAM
2017-10-02,20,SP15,Wind,1847.5,DAM
2017-10-02,21,SP15,Wind,1766.15,DAM
2017-10-02,22,SP15,Wind,1597.66,DAM
2017-10-02,23,SP15,Wind,1374.53,DAM
2017-10-02,24,SP15,Wind,1227.43,DAM
2017-10-03,1,SP15,Wind,1138.36,DAM
2017-10-03,2,SP15,Wind,979.56,DAM
2017-10-03,3,SP15,Wind,803.89,DAM
2017-10-03,4,SP15,Wind,657.79,DAM
2017-10-03,5,SP15,Wind,570.4,DAM
2017-10-03,6,SP15,Wind,504.76,DAM
2017-10-03,7,SP15,Wind,467.42,DAM
2017-10-03,8,SP15,Wind,460.88,DAM
2017-10-03,9,SP15,Wind,422.58,DAM
2017-10-03,10,SP15,Wind,409.02,DAM
2017-10-03,11,SP15,Wind,407.08,DAM
2017-10-03,12,SP15,Wind,482.13,DAM
2017-10-03,13,SP15,Wind,606.51,DAM
2017-10-03,14,SP15,Wind,741.57,DAM
2017-10-03,15,SP15,Wind,845.42,DAM
2017-10-03,16,SP15,Wind,948.85,DAM
2017-10-03,17,SP15,Wind,1071.66,DAM
2017-10-03,18,SP15,Wind,1168.56,DAM
2017-10-03,19,SP15,Wind,1212.72,DAM
2017-10-03,20,SP15,Wind,1280.18,DAM
2017-10-03,21,SP15,Wind,1354.21,DAM
2017-10-03,22,SP15,Wind,1434.31,DAM
2017-10-03,23,SP15,Wind,1450.72,DAM
2017-10-03,24,SP15,Wind,1400.71,DAM
2017-10-04,1,SP15,Wind,1823.05,DAM
2017-10-04,2,SP15,Wind,1755.68,DAM
2017-10-04,3,SP15,Wind,1653.91,DAM
2017-10-04,4,SP15,Wind,1516.57,DAM
2017-10-04,5,SP15,Wind,1363.76,DAM
2017-10-04,6,SP15,Wind,1064.95,DAM
2017-10-04,7,SP15,Wind,806.97,DAM
2017-10-04,8,SP15,Wind,572.34,DAM
2017-10-04,9,SP15,Wind,367.37,DAM
2017-10-04,10,SP15,Wind,218.19,DAM
2017-10-04,11,SP15,Wind,168.84,DAM
2017-10-04,12,SP15,Wind,157.38,DAM
2017-10-04,13,SP15,Wind,160.45,DAM
2017-10-04,14,SP15,Wind,161.95,DAM
2017-10-04,15,SP15,Wind,154.49,DAM
2017-10-04,16,SP15,Wind,164.98,DAM
2017-10-04,17,SP15,Wind,186.58,DAM
2017-10-04,18,SP15,Wind,234.47,DAM
2017-10-04,19,SP15,Wind,428.86,DAM
2017-10-04,20,SP15,Wind,640.63,DAM
2017-10-04,21,SP15,Wind,632.15,DAM
2017-10-04,22,SP15,Wind,562.31,DAM
2017-10-04,23,SP15,Wind,498.13,DAM
2017-10-04,24,SP15,Wind,441.43,DAM
2017-10-05,1,SP15,Wind,659.99,DAM
2017-10-05,2,SP15,Wind,723.71,DAM
2017-10-05,3,SP15,Wind,730.24,DAM
2017-10-05,4,SP15,Wind,691.02,DAM
2017-10-05,5,SP15,Wind,643.53,DAM
2017-10-05,6,SP15,Wind,599.4,DAM
2017-10-05,7,SP15,Wind,582.97,DAM
2017-10-05,8,SP15,Wind,534.39,DAM
2017-10-05,9,SP15,Wind,384.39,DAM
2017-10-05,10,SP15,Wind,244.04,DAM
2017-10-05,11,SP15,Wind,183.8,DAM
2017-10-05,12,SP15,Wind,182.8,DAM
2017-10-05,13,SP15,Wind,203.14,DAM
2017-10-05,14,SP15,Wind,212.13,DAM
2017-10-05,15,SP15,Wind,234.91,DAM
2017-10-05,16,SP15,Wind,289.46,DAM
2017-10-05,17,SP15,Wind,378.82,DAM
2017-10-05,18,SP15,Wind,534.59,DAM
2017-10-05,19,SP15,Wind,745.9,DAM
2017-10-05,20,SP15,Wind,941.86,DAM
2017-10-05,21,SP15,Wind,913.37,DAM
2017-10-05,22,SP15,Wind,793.34,DAM
2017-10-05,23,SP15,Wind,681.13,DAM
2017-10-05,24,SP15,Wind,580.07,DAM
2017-10-06,1,SP15,Wind,601.12,DAM
2017-10-06,2,SP15,Wind,475.24,DAM
2017-10-06,3,SP15,Wind,367.86,DAM
2017-10-06,4,SP15,Wind,294.75,DAM
2017-10-06,5,SP15,Wind,250.6,DAM
2017-10-06,6,SP15,Wind,219.61,DAM
2017-10-06,7,SP15,Wind,202.99,DAM
2017-10-06,8,SP15,Wind,210.97,DAM
2017-10-06,9,SP15,Wind,232.01,DAM
2017-10-06,10,SP15,Wind,320.71,DAM
2017-10-06,11,SP15,Wind,462.3,DAM
2017-10-06,12,SP15,Wind,480.89,DAM
2017-10-06,13,SP15,Wind,491.56,DAM
2017-10-06,14,SP15,Wind,474.22,DAM
2017-10-06,15,SP15,Wind,420.96,DAM
2017-10-06,16,SP15,Wind,366.58,DAM
2017-10-06,17,SP15,Wind,316.97,DAM
2017-10-06,18,SP15,Wind,254.05,DAM
2017-10-06,19,SP15,Wind,203.09,DAM
2017-10-06,20,SP15,Wind,229.21,DAM
2017-10-06,21,SP15,Wind,248.67,DAM
2017-10-06,22,SP15,Wind,242.99,DAM
2017-10-06,23,SP15,Wind,238.5,DAM
2017-10-06,24,SP15,Wind,235.47,DAM
2017-10-07,1,SP15,Wind,214.58,DAM
2017-10-07,2,SP15,Wind,230.8,DAM
2017-10-07,3,SP15,Wind,224.38,DAM
2017-10-07,4,SP15,Wind,223.4,DAM
2017-10-07,5,SP15,Wind,220.08,DAM
2017-10-07,6,SP15,Wind,198.83,DAM
2017-10-07,7,SP15,Wind,176.52,DAM
2017-10-07,8,SP15,Wind,157.4,DAM
2017-10-07,9,SP15,Wind,147.66,DAM
2017-10-07,10,SP15,Wind,146.29,DAM
2017-10-07,11,SP15,Wind,169.23,DAM
2017-10-07,12,SP15,Wind,175.75,DAM
2017-10-07,13,SP15,Wind,185.71,DAM
2017-10-07,14,SP15,Wind,209.52,DAM
2017-10-07,15,SP15,Wind,345.58,DAM
2017-10-07,16,SP15,Wind,648.02,DAM
2017-10-07,17,SP15,Wind,1087.06,DAM
2017-10-07,18,SP15,Wind,1365.74,DAM
2017-10-07,19,SP15,Wind,1638.41,DAM
2017-10-07,20,SP15,Wind,1896.19,DAM
2017-10-07,21,SP15,Wind,1956.84,DAM
2017-10-07,22,SP15,Wind,2009.29,DAM
2017-10-07,23,SP15,Wind,2026.49,DAM
2017-10-07,24,SP15,Wind,2040.29,DAM
2017-10-08,1,SP15,Wind,2289.18,DAM
2017-10-08,2,SP15,Wind,2307.84,DAM
2017-10-08,3,SP15,Wind,2319.26,DAM
2017-10-08,4,SP15,Wind,2371.85,DAM
2017-10-08,5,SP15,Wind,2425.73,DAM
2017-10-08,6,SP15,Wind,2410.26,DAM
2017-10-08,7,SP15,Wind,2398.98,DAM
2017-10-08,8,SP15,Wind,2331.92,DAM
2017-10-08,9,SP15,Wind,2240.57,DAM
2017-10-08,10,SP15,Wind,2107.26,DAM
2017-10-08,11,SP15,Wind,1920.61,DAM
2017-10-08,12,SP15,Wind,2053.4,DAM
2017-10-08,13,SP15,Wind,2277.39,DAM
2017-10-08,14,SP15,Wind,2523.15,DAM
2017-10-08,15,SP15,Wind,2823.21,DAM
2017-10-08,16,SP15,Wind,3033.16,DAM
2017-10-08,17,SP15,Wind,3140.83,DAM
2017-10-08,18,SP15,Wind,3133.86,DAM
2017-10-08,19,SP15,Wind,3091.29,DAM
2017-10-08,20,SP15,Wind,3031.0,DAM
2017-10-08,21,SP15,Wind,2753.75,DAM
2017-10-08,22,SP15,Wind,2149.52,DAM
2017-10-08,23,SP15,Wind,1632.83,DAM
2017-10-08,24,SP15,Wind,1270.59,DAM
2017-10-09,1,SP15,Wind,956.6,DAM
2017-10-09,2,SP15,Wind,951.96,DAM
2017-10-09,3,SP15,Wind,901.95,DAM
2017-10-09,4,SP15,Wind,886.72,DAM
2017-10-09,5,SP15,Wind,902.27,DAM
2017-10-09,6,SP15,Wind,869.18,DAM
2017-10-09,7,SP15,Wind,814.05,DAM
2017-10-09,8,SP15,Wind,826.88,DAM
2017-10-09,9,SP15,Wind,866.6,DAM
2017-10-09,10,SP15,Wind,952.48,DAM
2017-10-09,11,SP15,Wind,1024.8,DAM
2017-10-09,12,SP15,Wind,1020.9,DAM
2017-10-09,13,SP15,Wind,990.2,DAM
2017-10-09,14,SP15,Wind,930.21,DAM
2017-10-09,15,SP15,Wind,837.38,DAM
2017-10-09,16,SP15,Wind,748.69,DAM
2017-10-09,17,SP15,Wind,652.78,DAM
2017-10-09,18,SP15,Wind,568.1,DAM
2017-10-09,19,SP15,Wind,447.49,DAM
2017-10-09,20,SP15,Wind,361.55,DAM
2017-10-09,21,SP15,Wind,331.99,DAM
2017-10-09,22,SP15,Wind,303.63,DAM
2017-10-09,23,SP15,Wind,261.68,DAM
2017-10-09,24,SP15,Wind,239.64,DAM
2017-10-10,1,SP15,Wind,279.07,DAM
2017-10-10,2,SP15,Wind,274.92,DAM
2017-10-10,3,SP15,Wind,282.25,DAM
2017-10-10,4,SP15,Wind,258.72,DAM
2017-10-10,5,SP15,Wind,245.21,DAM
2017-10-10,6,SP15,Wind,252.69,DAM
2017-10-10,7,SP15,Wind,244.77,DAM
2017-10-10,8,SP15,Wind,221.96,DAM
2017-10-10,9,SP15,Wind,223.48,DAM
2017-10-10,10,SP15,Wind,246.09,DAM
2017-10-10,11,SP15,Wind,257.96,DAM
2017-10-10,12,SP15,Wind,239.98,DAM
2017-10-10,13,SP15,Wind,210.31,DAM
2017-10-10,14,SP15,Wind,174.95,DAM
2017-10-10,15,SP15,Wind,147.83,DAM
2017-10-10,16,SP15,Wind,139.74,DAM
2017-10-10,17,SP15,Wind,124.2,DAM
2017-10-10,18,SP15,Wind,112.94,DAM
2017-10-10,19,SP15,Wind,96.54,DAM
2017-10-10,20,SP15,Wind,106.74,DAM
2017-10-10,21,SP15,Wind,137.1,DAM
2017-10-10,22,SP15,Wind,140.52,DAM
2017-10-10,23,SP15,Wind,137.39,DAM
2017-10-10,24,SP15,Wind,164.38,DAM
2017-10-11,1,SP15,Wind,270.37,DAM
2017-10-11,2,SP15,Wind,321.78,DAM
2017-10-11,3,SP15,Wind,360.66,DAM
2017-10-11,4,SP15,Wind,381.98,DAM
2017-10-11,5,SP15,Wind,409.15,DAM
2017-10-11,6,SP15,Wind,403.66,DAM
2017-10-11,7,SP15,Wind,424.36,DAM
2017-10-11,8,SP15,Wind,446.9,DAM
2017-10-11,9,SP15,Wind,419.63,DAM
2017-10-11,10,SP15,Wind,402.76,DAM
2017-10-11,11,SP15,Wind,479.69,DAM
2017-10-11,12,SP15,Wind,655.89,DAM
2017-10-11,13,SP15,Wind,869.75,DAM
