OPR_DT,Hour,Node,Price
2017-10-01,1,GARNET_7_N001,26.933009999999996
2017-10-01,2,GARNET_7_N001,26.67447
2017-10-01,3,GARNET_7_N001,27.3287
2017-10-01,4,GARNET_7_N001,26.61197
2017-10-01,5,GARNET_7_N001,27.352629999999998
2017-10-01,6,GARNET_7_N001,30.142709999999997
2017-10-01,7,GARNET_7_N001,29.401359999999997
2017-10-01,8,GARNET_7_N001,27.133879999999998
2017-10-01,9,GARNET_7_N001,19.98522
2017-10-01,10,GARNET_7_N001,5.48725
2017-10-01,11,GARNET_7_N001,4.67846
2017-10-01,12,GARNET_7_N001,5.91412
2017-10-01,13,GARNET_7_N001,11.73837
2017-10-01,14,GARNET_7_N001,17.68921
2017-10-01,15,GARNET_7_N001,21.477729999999998
2017-10-01,16,GARNET_7_N001,23.81155
2017-10-01,17,GARNET_7_N001,25.42877
2017-10-01,18,GARNET_7_N001,34.18291
2017-10-01,19,GARNET_7_N001,48.29
2017-10-01,20,GARNET_7_N001,56.7773
2017-10-01,21,GARNET_7_N001,42.70766
2017-10-01,22,GARNET_7_N001,35.125820000000004
2017-10-01,23,GARNET_7_N001,31.06702
2017-10-01,24,GARNET_7_N001,27.233209999999996
2017-10-02,1,GARNET_7_N001,26.071360000000002
2017-10-02,2,GARNET_7_N001,26.063229999999997
2017-10-02,3,GARNET_7_N001,25.62634
2017-10-02,4,GARNET_7_N001,25.57883
2017-10-02,5,GARNET_7_N001,26.381
2017-10-02,6,GARNET_7_N001,29.4575
2017-10-02,7,GARNET_7_N001,37.6156
2017-10-02,8,GARNET_7_N001,39.23936
2017-10-02,9,GARNET_7_N001,27.0879
2017-10-02,10,GARNET_7_N001,22.199279999999998
2017-10-02,11,GARNET_7_N001,19.76361
2017-10-02,12,GARNET_7_N001,22.19142
2017-10-02,13,GARNET_7_N001,23.1588
2017-10-02,14,GARNET_7_N001,24.71164
2017-10-02,15,GARNET_7_N001,25.02267
2017-10-02,16,GARNET_7_N001,25.46469
2017-10-02,17,GARNET_7_N001,27.05023
2017-10-02,18,GARNET_7_N001,36.33965
2017-10-02,19,GARNET_7_N001,49.779140000000005
2017-10-02,20,GARNET_7_N001,58.882130000000004
2017-10-02,21,GARNET_7_N001,43.08916
2017-10-02,22,GARNET_7_N001,36.956109999999995
2017-10-02,23,GARNET_7_N001,32.34391
2017-10-02,24,GARNET_7_N001,28.91491
2017-10-03,1,GARNET_7_N001,27.92213
2017-10-03,2,GARNET_7_N001,27.427390000000003
2017-10-03,3,GARNET_7_N001,27.551440000000003
2017-10-03,4,GARNET_7_N001,27.163
2017-10-03,5,GARNET_7_N001,27.62862
2017-10-03,6,GARNET_7_N001,32.01678
2017-10-03,7,GARNET_7_N001,41.12178
2017-10-03,8,GARNET_7_N001,44.35576
2017-10-03,9,GARNET_7_N001,26.797179999999997
2017-10-03,10,GARNET_7_N001,18.31312
2017-10-03,11,GARNET_7_N001,16.09132
2017-10-03,12,GARNET_7_N001,17.71673
2017-10-03,13,GARNET_7_N001,19.712970000000002
2017-10-03,14,GARNET_7_N001,20.80933
2017-10-03,15,GARNET_7_N001,22.0437
2017-10-03,16,GARNET_7_N001,25.34858
2017-10-03,17,GARNET_7_N001,26.5706
2017-10-03,18,GARNET_7_N001,37.18694
2017-10-03,19,GARNET_7_N001,50.30473
2017-10-03,20,GARNET_7_N001,62.57856999999999
2017-10-03,21,GARNET_7_N001,45.99505
2017-10-03,22,GARNET_7_N001,37.339529999999996
2017-10-03,23,GARNET_7_N001,33.89612
2017-10-03,24,GARNET_7_N001,30.03112
2017-10-04,1,GARNET_7_N001,27.56095
2017-10-04,2,GARNET_7_N001,27.12792
2017-10-04,3,GARNET_7_N001,26.592709999999997
2017-10-04,4,GARNET_7_N001,26.52181
2017-10-04,5,GARNET_7_N001,27.1782
2017-10-04,6,GARNET_7_N001,30.73697
2017-10-04,7,GARNET_7_N001,40.68999
2017-10-04,8,GARNET_7_N001,45.23972
2017-10-04,9,GARNET_7_N001,27.18563
2017-10-04,10,GARNET_7_N001,23.268539999999998
2017-10-04,11,GARNET_7_N001,17.94846
2017-10-04,12,GARNET_7_N001,18.626170000000002
2017-10-04,13,GARNET_7_N001,22.45911
2017-10-04,14,GARNET_7_N001,24.333470000000002
2017-10-04,15,GARNET_7_N001,24.88803
2017-10-04,16,GARNET_7_N001,26.25947
