OPR_DT,Hour,Tac Area,Load
2017-10-01,1,SCE-TAC,10525.6
2017-10-01,2,SCE-TAC,9981.51
2017-10-01,3,SCE-TAC,9586.88
2017-10-01,4,SCE-TAC,9343.1
2017-10-01,5,SCE-TAC,9256.74
2017-10-01,6,SCE-TAC,9346.44
2017-10-01,7,SCE-TAC,9439.87
2017-10-01,8,SCE-TAC,9355.56
2017-10-01,9,SCE-TAC,9570.53
2017-10-01,10,SCE-TAC,9949.16
2017-10-01,11,SCE-TAC,10340.04
2017-10-01,12,SCE-TAC,10746.38
2017-10-01,13,SCE-TAC,11192.61
2017-10-01,14,SCE-TAC,11634.17
2017-10-01,15,SCE-TAC,12136.39
2017-10-01,16,SCE-TAC,12718.84
2017-10-01,17,SCE-TAC,13012.18
2017-10-01,18,SCE-TAC,13125.01
2017-10-01,19,SCE-TAC,13340.42
2017-10-01,20,SCE-TAC,13681.99
2017-10-01,21,SCE-TAC,13267.21
2017-10-01,22,SCE-TAC,12447.98
2017-10-01,23,SCE-TAC,11444.75
2017-10-01,24,SCE-TAC,10584.24
2017-10-02,1,SCE-TAC,10007.0
2017-10-02,2,SCE-TAC,9601.0
2017-10-02,3,SCE-TAC,9370.0
2017-10-02,4,SCE-TAC,9293.0
2017-10-02,5,SCE-TAC,9546.0
2017-10-02,6,SCE-TAC,10210.0
2017-10-02,7,SCE-TAC,10804.0
2017-10-02,8,SCE-TAC,11148.0
2017-10-02,9,SCE-TAC,11515.0
2017-10-02,10,SCE-TAC,11815.0
2017-10-02,11,SCE-TAC,12126.0
2017-10-02,12,SCE-TAC,12368.0
2017-10-02,13,SCE-TAC,12472.0
2017-10-02,14,SCE-TAC,12854.0
2017-10-02,15,SCE-TAC,13176.0
2017-10-02,16,SCE-TAC,13713.0
2017-10-02,17,SCE-TAC,14090.0
2017-10-02,18,SCE-TAC,13980.0
2017-10-02,19,SCE-TAC,13794.0
2017-10-02,20,SCE-TAC,13944.0
2017-10-02,21,SCE-TAC,13727.0
2017-10-02,22,SCE-TAC,12953.0
2017-10-02,23,SCE-TAC,11876.0
2017-10-02,24,SCE-TAC,10795.0
2017-10-03,1,SCE-TAC,9779.0
2017-10-03,2,SCE-TAC,9420.0
