OUTAGE_DATE,Hour,Type,Trading Hub,Outage,Report Date
2017-10-01,1,Hydro,SP15,467.11,2017-09-30
2017-10-01,2,Hydro,SP15,467.11,2017-09-30
2017-10-01,3,Hydro,SP15,467.11,2017-09-30
2017-10-01,4,Hydro,SP15,467.11,2017-09-30
2017-10-01,5,Hydro,SP15,467.11,2017-09-30
2017-10-01,6,Hydro,SP15,467.11,2017-09-30
2017-10-01,7,Hydro,SP15,467.11,2017-09-30
2017-10-01,8,Hydro,SP15,467.11,2017-09-30
2017-10-01,9,Hydro,SP15,473.61,2017-09-30
2017-10-01,10,Hydro,SP15,473.61,2017-09-30
2017-10-01,11,Hydro,SP15,473.61,2017-09-30
2017-10-01,12,Hydro,SP15,473.61,2017-09-30
2017-10-01,13,Hydro,SP15,473.61,2017-09-30
2017-10-01,14,Hydro,SP15,473.61,2017-09-30
2017-10-01,15,Hydro,SP15,273.61,2017-09-30
2017-10-01,16,Hydro,SP15,273.61,2017-09-30
2017-10-01,17,Hydro,SP15,273.61,2017-09-30
2017-10-01,18,Hydro,SP15,273.61,2017-09-30
2017-10-01,19,Hydro,SP15,473.61,2017-09-30
2017-10-01,20,Hydro,SP15,473.61,2017-09-30
2017-10-01,21,Hydro,SP15,473.61,2017-09-30
2017-10-01,22,Hydro,SP15,473.61,2017-09-30
2017-10-01,23,Hydro,SP15,473.61,2017-09-30
2017-10-01,24,Hydro,SP15,473.61,2017-09-30
2017-10-01,1,Renewable,SP15,271.03,2017-09-30
2017-10-01,2,Renewable,SP15,271.03,2017-09-30
2017-10-01,3,Renewable,SP15,271.03,2017-09-30
2017-10-01,4,Renewable,SP15,271.03,2017-09-30
2017-10-01,5,Renewable,SP15,271.03,2017-09-30
2017-10-01,6,Renewable,SP15,170.22,2017-09-30
2017-10-01,7,Renewable,SP15,170.22,2017-09-30
2017-10-01,8,Renewable,SP15,172.02,2017-09-30
2017-10-01,9,Renewable,SP15,172.02,2017-09-30
2017-10-01,10,Renewable,SP15,172.02,2017-09-30
2017-10-01,11,Renewable,SP15,172.02,2017-09-30
2017-10-01,12,Renewable,SP15,172.02,2017-09-30
2017-10-01,13,Renewable,SP15,172.02,2017-09-30
2017-10-01,14,Renewable,SP15,172.02,2017-09-30
2017-10-01,15,Renewable,SP15,172.02,2017-09-30
2017-10-01,16,Renewable,SP15,163.02,2017-09-30
2017-10-01,17,Renewable,SP15,163.02,2017-09-30
2017-10-01,18,Renewable,SP15,163.02,2017-09-30
2017-10-01,19,Renewable,SP15,263.83,2017-09-30
2017-10-01,20,Renewable,SP15,263.83,2017-09-30
2017-10-01,21,Renewable,SP15,263.83,2017-09-30
2017-10-01,22,Renewable,SP15,263.83,2017-09-30
2017-10-01,23,Renewable,SP15,263.83,2017-09-30
2017-10-01,24,Renewable,SP15,263.83,2017-09-30
2017-10-01,1,Thermal,SP15,1102.45,2017-09-30
2017-10-01,2,Thermal,SP15,1575.73,2017-09-30
2017-10-01,3,Thermal,SP15,1574.53,2017-09-30
2017-10-01,4,Thermal,SP15,1568.36,2017-09-30
2017-10-01,5,Thermal,SP15,1563.58,2017-09-30
2017-10-01,6,Thermal,SP15,1074.46,2017-09-30
2017-10-01,7,Thermal,SP15,1070.3,2017-09-30
2017-10-01,8,Thermal,SP15,1080.63,2017-09-30
2017-10-01,9,Thermal,SP15,1118.81,2017-09-30
2017-10-01,10,Thermal,SP15,1121.5,2017-09-30
2017-10-01,11,Thermal,SP15,1134.44,2017-09-30
2017-10-01,12,Thermal,SP15,1159.93,2017-09-30
2017-10-01,13,Thermal,SP15,1174.69,2017-09-30
2017-10-01,14,Thermal,SP15,1181.58,2017-09-30
2017-10-01,15,Thermal,SP15,1186.83,2017-09-30
2017-10-01,16,Thermal,SP15,1190.29,2017-09-30
2017-10-01,17,Thermal,SP15,1198.13,2017-09-30
2017-10-01,18,Thermal,SP15,1190.44,2017-09-30
2017-10-01,19,Thermal,SP15,1169.37,2017-09-30
2017-10-01,20,Thermal,SP15,1147.82,2017-09-30
2017-10-01,21,Thermal,SP15,1126.86,2017-09-30
2017-10-01,22,Thermal,SP15,1115.7,2017-09-30
2017-10-01,23,Thermal,SP15,1106.34,2017-09-30
2017-10-01,24,Thermal,SP15,1314.73,2017-09-30
2017-10-02,1,Hydro,SP15,473.71,2017-10-01
2017-10-02,2,Hydro,SP15,473.71,2017-10-01
