,LI_chr,LI_dis,LI_soc,LI_previous
0,0,0,100,0
1,0,0,100,0
2,0,0,100,0
3,0,0,100,0
4,0,0,100,0
5,0,50,100,0
6,0,50,50,1
7,0,0,0,1
8,0,0,0,0
9,50,0,0,0
10,50,0,42.5,-1
11,50,0,85,-1
12,50,0,127.5,-1
13,35.29411765,0,170,-1
14,0,0,200,-0.705882353
15,0,0,200,0
16,0,0,200,0
17,0,0,200,0
18,0,50,200,0
19,0,50,150,1
20,0,50,100,1
21,0,50,50,1
22,0,0,0.00E+00,1
23,0,0,0.00E+00,0
24,0,0,0.00E+00,0
25,17.64705882,0,0.00E+00,0
26,50,0,15,-0.352941176
27,50,0,57.5,-1
28,0,0,100,-1
29,0,0,100,0
30,0,50,100,0
31,0,50,50,1
32,0,0,0,1
33,50,0,0,0
34,50,0,42.5,-1
35,50,0,85,-1
36,50,0,127.5,-1
37,35.29411765,0,170,-1
38,0,0,200,-0.705882353
39,0,0,200,0
40,0,0,200,0
41,0,0,200,0
42,0,50,200,0
43,0,50,150,1
44,0,50,100,1
45,0,50,50,1
46,0,0,0,1
47,0,0,0,0
48,0,0,0,0
49,50,0,0,0
50,17.64705882,0,42.5,-1
51,50,0,57.5,-0.352941176
52,0,0,100,-1
53,0,0,100,0
54,0,50,100,0
55,0,50,50,1
56,0,0,0,1
57,50,0,0,0
58,50,0,42.5,-1
59,50,0,85,-1
60,50,0,127.5,-1
61,35.29411765,0,170,-1
62,0,0,200,-0.705882353
63,0,0,200,0
64,0,0,200,0
65,0,0,200,0
66,0,50,200,0
67,0,50,150,1
68,0,50,100,1
69,0,50,50,1
70,0,0,0,1
71,0,0,0,0
72,0,0,0,0
73,17.64705882,0,0,0
74,50,0,15,-0.352941176
75,50,0,57.5,-1
76,0,0,100,-1
77,0,0,100,0
78,0,50,100,0
79,0,50,50,1
80,0,0,0,1
81,50,0,0,0
82,50,0,42.5,-1
83,50,0,85,-1
84,50,0,127.5,-1
85,35.29411765,0,170,-1
86,0,0,200,-0.705882353
87,0,0,200,0
88,0,0,200,0
89,0,50,200,0
90,0,50,150,1
91,0,50,100,1
92,0,50,50,1
93,0,0,0,1
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,50,0,0,0
99,50,0,42.5,-1
100,17.64705882,0,85,-1
101,0,0,100,-0.352941176
102,0,50,100,0
103,0,50,50,1
104,0,0,0,1
105,50,0,0,0
106,50,0,42.5,-1
107,50,0,85,-1
108,50,0,127.5,-1
109,35.29411765,0,170,-1
110,0,0,200,-0.705882353
111,0,0,200,0
112,0,0,200,0
113,0,50,200,0
114,0,50,150,1
115,0,50,100,1
116,0,50,50,1
117,0,0,0,1
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,50,0,0,0
122,50,0,42.5,-1
123,50,0,85,-1
124,2.941176471,0,127.5,-1
125,0,0,130,-0.058823529
126,0,50,130,0
127,0,50,80,1
128,50,0,30,1
129,50,0,72.5,-1
130,50,0,115,-1
131,50,0,157.5,-1
132,0,0,200,-1
133,0,0,200,0
134,0,0,200,0
135,0,0,200,0
136,0,0,200,0
137,0,50,200,0
138,0,50,150,1
139,0,50,100,1
140,0,50,50,1
141,0,0,0,1
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,50,0,0,0
148,8.823529412,0,42.5,-1
149,0,0,50,-0.176470588
150,0,50,50,0
151,0,0,0,1
152,35.29411765,0,0,0
153,50,0,30,-0.705882353
154,50,0,72.5,-1
155,50,0,115,-1
156,50,0,157.5,-1
157,0,0,200,-1
158,0,0,200,0
159,0,0,200,0
160,0,0,200,0
161,0,50,200,0
162,0,50,150,1
163,0,50,100,1
164,0,50,50,1
165,0,0,0,1
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,50,0,0,0
178,50,0,42.5,-1
179,50,0,85,-1
180,50,0,127.5,-1
181,35.29411765,0,170,-1
182,0,0,200,-0.705882353
183,0,0,200,0
184,0,0,200,0
185,0,0,200,0
186,0,50,200,0
187,0,50,150,1
188,0,50,100,1
189,0,50,50,1
190,0,0,0,1
191,0,0,0,0
192,0,0,0,0
193,50,0,0,0
194,17.64705882,0,42.5,-1
195,50,0,57.5,-0.352941176
196,0,0,100,-1
197,0,0,100,0
198,0,50,100,0
199,0,50,50,1
200,0,0,0,1
201,35.29411765,0,0,0
202,50,0,30,-0.705882353
203,50,0,72.5,-1
204,50,0,115,-1
205,50,0,157.5,-1
206,0,0,200,-1
207,0,0,200,0
208,0,0,200,0
209,0,50,200,0
210,0,50,150,1
211,0,50,100,1
212,0,50,50,1
213,0,0,0,1
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,50,0,0,0
219,50,0,42.5,-1
220,17.64705882,0,85,-1
221,0,0,100,-0.352941176
222,0,50,100,0
223,0,50,50,1
224,0,0,0,1
225,50,0,0,0
226,50,0,42.5,-1
227,50,0,85,-1
228,50,0,127.5,-1
229,35.29411765,0,170,-1
230,0,0,200,-0.705882353
231,0,0,200,0
232,0,0,200,0
233,0,50,200,0
234,0,50,150,1
235,0,50,100,1
236,0,50,50,1
237,0,0,0,1
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,17.64705882,0,0,0
243,50,0,15,-0.352941176
244,50,0,57.5,-1
245,0,0,100,-1
246,0,50,100,0
247,0,50,50,1
248,0,0,0,1
